student_id,question,reflection
1,What did you learn or experience from this task?,"I really enjoyed working on this project, it was exciting and fun."
2,What did you learn or experience from this task?,This assignment was challenging but I learned a lot from it.
3,What did you learn or experience from this task?,I was frustrated at first but eventually I figured it out.
4,What did you learn or experience from this task?,It was a boring task and I didn’t feel engaged.
5,What did you learn or experience from this task?,I felt very accomplished after finishing the work.
6,What did you learn or experience from this task?,It was confusing and I struggled to understand the instructions.
7,What did you learn or experience from this task?,The feedback I received made me feel great.
8,What did you learn or experience from this task?,"I didn’t like this project at all, it was a waste of time."
9,What did you learn or experience from this task?,The experience was valuable and helped me grow.
10,What did you learn or experience from this task?,"I hated the group work, my teammates didn’t contribute."
11,What did you learn or experience from this task?,"This was a positive experience, and I’m proud of my work."
12,What did you learn or experience from this task?,The instructions were unclear and I was disappointed.
13,What did you learn or experience from this task?,Completing this gave me a sense of achievement.
14,What did you learn or experience from this task?,I was anxious about presenting but it went well.
15,What did you learn or experience from this task?,This reflection helped me realize how much I’ve improved.
16,What did you learn or experience from this task?,I was not satisfied with my performance.
17,What did you learn or experience from this task?,I feel grateful for the support I got during this task.
18,What did you learn or experience from this task?,"It was an okay experience, not too bad or too great."
19,What did you learn or experience from this task?,"I loved doing this project, it was inspiring."
20,What did you learn or experience from this task?,"I felt like giving up, but I’m glad I pushed through."
